category,keyword
dyslexia,dyslexia
dyslexia,dyslexic
dyslexia,reading disability
dyslexia,learning disability
dyslexia,specific learning disorder
dyslexia,sld
dyslexia,phonological
dyslexia,orthographic
dyslexia,decoding
dyslexia,spelling difficulty
dyslexia,reading difficulty
ai,ai
ai,artificial intelligence
ai,machine learning
ai,language model
ai,large language model
ai,llm
ai,chatgpt
ai,gpt
ai,gemini
ai,claude
ai,llama
ai,mistral
ai,deepdeek
ai,qwen
ai,grok
ai,gemma
ai,phi
ai,falcon
ai,openai
technology,assistive technology
technology,assistive tech
technology,accessibility tool
technology,accessibility software
technology,adaptive technology
technology,learning technology
technology,educational technology
technology,tool
technology,tools
technology,app
technology,apps
technology,software
technology,program
technology,technology
technology,grammarly
technology,speechify
technology,natural reader
technology,read&write
technology,kurzweil
technology,dragon
technology,google docs
technology,microsoft word
technology,otter
technology,notion
support,text to speech
support,speech to text
support,voice typing
support,dictation
support,screen reader
support,read aloud
support,audiobook
support,audio book
support,spell checker
support,grammar checker
support,predictive text
support,word prediction
support,reading software
support,writing aid
support,note taking
perception,helpful
perception,useful
perception,accessible
perception,supportive
perception,inclusive
perception,works well
perception,frustrating
perception,confusing
perception,overwhelming
perception,hard to use
perception,stressful
perception,not accessible
perception,doesn't work
