question_base_id,original_question,paraphrased_question,keyword_perturbed_question
RQ1,What are the primary learning-related use-cases for AI tools described by dyslexic learners in online discussions?,How do dyslexic learners describe the main ways they use AI tools for learning in online forum discussions?,"What study, academic, education, school, university, reading, writing, and productivity uses of machine-learning or automated digital tools are mentioned by people with dyslexia online?"
RQ1_F1,"How do dyslexic users describe the role of assistive technology accommodations like laptops for exams, extra time, or browser extensions in supporting their learning?","How do dyslexic users explain the value of assistive technology and accommodations, such as exam laptops, extra time, or browser extensions, for learning support?","How are digital access supports, assessment adjustments, computer use, extended time, and web-based helper tools discussed as learning aids for dyslexic users?"
RQ1_F2,"What specific reading-support features, such as coloured overlays, reading guides, bionic reading, or adjustable spacing, do dyslexic users describe as more helpful than font changes alone?","Which reading-support features, including overlays, reading guides, bionic reading, and spacing controls, are described as more useful than font changes by dyslexic users?","What visual reading adjustments, screen overlays, line guides, enhanced text formatting, spacing controls, or layout changes are reported as helpful beyond changing fonts?"
RQ1_F3,How is AI described as part of everyday study routines compared with one-off or occasional use?,How do users describe AI as part of regular study habits compared with occasional or one-time use?,"How are automated study helpers, chatbots, or generative tools discussed as routine learning aids versus rare or single-use tools?"
RQ1_F4,"How do reported AI use-cases differ between school, university, and work-related learning contexts?","How do AI use cases vary across school, university, and work-related learning settings?","How do reported uses of automated tools differ across secondary education, higher education, employment training, and workplace learning contexts?"
RQ1_F5,"In what ways do learners use AI to support idea generation, task understanding, or organisation of thoughts during study?","How do learners use AI to generate ideas, understand tasks, or organise their thoughts while studying?","How are digital assistants used for brainstorming, planning, interpreting instructions, structuring assignments, and organising study-related thinking?"
RQ2,What benefits and failure modes do dyslexic learners report when using AI tools for different learning tasks?,What advantages and problems do dyslexic learners describe when they use AI tools for different learning activities?,"What positive outcomes, limitations, breakdowns, errors, risks, and difficulties are mentioned when automated learning tools are used for reading, writing, and study tasks?"
RQ2_F1,"When do users describe AI outputs as inaccurate, too generic, confusing, or not aligned with what they were trying to express?","When do users say AI responses are inaccurate, too general, confusing, or not aligned with their intended meaning?","What examples show generated outputs being wrong, vague, unclear, misleading, mismatched, or failing to capture the user's intended expression?"
RQ2_F2,In what ways do learners describe AI as helping them participate more effectively in education or work-based learning environments?,How do learners describe AI as helping them take part more effectively in education or work-based learning?,"How are automated tools linked to participation, inclusion, contribution, communication, academic engagement, or workplace learning involvement?"
RQ2_F3,"In what situations do users describe AI as offering limited value compared with other assistive tools, accommodations, or personal coping strategies?","When do users describe AI as less useful than other assistive tools, accommodations, or personal strategies?","What situations show automated tools offering limited value compared with support services, access adjustments, assistive software, or self-developed coping methods?"
RQ2_F4,"What concerns do dyslexic learners raise about over-reliance on AI, reduced skill development, or uncertainty about whether they are really learning?","What concerns do dyslexic learners express about relying too much on AI, not developing skills, or being unsure whether they are learning?","How are dependency, skill loss, overuse, reduced independent learning, uncertainty, and learning confidence discussed in relation to automated tools?"
RQ2_F5,"How do learners describe AI improving clarity, confidence, or speed when completing learning-related work?","How do learners say AI improves clarity, confidence, or speed when completing learning-related work?","How are automated tools described as improving understanding, self-assurance, efficiency, task completion, writing clarity, or learning speed?"
RQ3,"Under what conditions are AI tools described as helpful, supportive, or inclusive for dyslexic learners?","When are AI tools described as useful, supportive, or inclusive for dyslexic learners?","What conditions, settings, design features, accessibility factors, and user practices make automated tools feel helpful or inclusive for people with dyslexia?"
RQ3_F1,"How do parents of dyslexic or dysgraphic children describe their experiences building, seeking, or customizing AI tools when existing solutions and school accommodations fall short?","How do parents of dyslexic or dysgraphic children describe seeking, building, or customising AI tools when existing solutions or school accommodations are not enough?","How do families discuss creating, adapting, searching for, or trialling automated support tools when school services, educational adjustments, or existing products fall short?"
RQ3_F2,"What role do accessibility, ease of use, and low effort play in whether AI tools are experienced as inclusive?","How do accessibility, ease of use, and low effort affect whether AI tools are experienced as inclusive?","How do usability, simple design, low cognitive load, accessible interfaces, and minimal setup influence whether automated tools feel supportive?"
RQ3_F3,"How do dyslexic learners and their families describe negotiating with schools or teachers to gain acceptance of AI tools, dictation, or typing as legitimate accommodations rather than as shortcuts?","How do dyslexic learners and families negotiate with schools or teachers to have AI tools, dictation, or typing accepted as valid accommodations rather than shortcuts?","How are approval, legitimacy, teacher acceptance, school policy, typing, speech input, and digital support tools discussed as recognised learning adjustments?"
RQ3_F4,"What user practices, such as prompting, checking outputs, or combining AI with other tools, are associated with more positive experiences?","Which user practices, such as prompting, checking AI outputs, or combining AI with other tools, are linked to more positive experiences?","What strategies, including prompt writing, verification, editing, tool-combination, and human review, are associated with better outcomes from automated tools?"
RQ3_F5,"How do task type, context, or severity of difficulty shape whether AI is perceived as supportive?","How do task type, context, or level of difficulty influence whether AI is viewed as supportive?","How do learning task demands, environment, individual needs, severity, and situational barriers shape perceived usefulness of automated tools?"
RQ4,"How are AI-based supports discussed in relation to broader educational challenges and support structures, including institutional accommodations and personal coping strategies?","How are AI-based supports discussed alongside wider educational challenges, institutional accommodations, and personal coping strategies?","How are automated support tools connected to education barriers, access plans, formal adjustments, school or university support systems, and self-management strategies?"
RQ4_F1,"In what ways is AI discussed as complementing, replacing, or compensating for existing support structures?","How is AI discussed as complementing, replacing, or compensating for existing support structures?","How are automated tools described as adding to, substituting for, filling gaps in, or making up for formal and informal support systems?"
RQ4_F2,"What gaps in school, university, or workplace support lead learners to turn to AI tools?","What gaps in school, university, or workplace support lead learners to use AI tools?","What unmet needs, service gaps, access barriers, delays, or institutional limitations push learners toward automated digital supports?"
RQ4_F3,How do dyslexic learners describe the legitimacy and acceptance of AI-based accommodations within formal IEPs or institutional support plans compared to traditional accommodations like extra time or dictation?,How do dyslexic learners describe the legitimacy and acceptance of AI accommodations within IEPs or support plans compared with traditional accommodations such as extra time or dictation?,"How are formal access plans, recognised adjustments, AI-based support, extended time, speech input, typing, and accommodation approval compared?"
RQ4_F4,"How are concerns about fairness, legitimacy, or dependency discussed when AI is used alongside institutional accommodations?","How are fairness, legitimacy, or dependency concerns discussed when AI is used with institutional accommodations?","How do users talk about equity, cheating concerns, acceptable support, over-reliance, and rules when automated tools are used with formal adjustments?"
RQ4_F5,"How do learners position AI within their wider personal coping strategies for reading, writing, organisation, or communication?","How do learners place AI within their wider coping strategies for reading, writing, organisation, or communication?","How are automated tools integrated with personal strategies for literacy, planning, executive function, written work, and communication support?"
RQ5,"How have discussions of AI tools among dyslexic learners changed over time in terms of prevalence, tone, and perceived role in learning support?","How have dyslexic learners' online discussions about AI tools changed over time in prevalence, tone, and perceived role in learning support?","How have mentions, attitudes, acceptance, concerns, and learning-support roles of automated tools changed over time in dyslexia-related online communities?"
RQ5_F1,"What do dyslexic learners say about community attitudes, rules, or skepticism toward AI-built tools, and how does this affect their willingness to try or recommend such tools?","What do dyslexic learners say about community attitudes, rules, or scepticism toward AI-built tools, and how does this affect willingness to try or recommend them?","How do forum norms, moderation rules, trust, doubt, acceptance, and community reactions influence adoption or recommendation of AI-generated tools?"
RQ5_F2,How have perceived benefits and risks of AI evolved as these tools have become more widely available?,How have perceived benefits and risks of AI changed as these tools have become more widely available?,"How have views about advantages, harms, trust, accessibility, usefulness, and concerns shifted as automated tools became more common?"
RQ5_F3,How has the volume of AI-related discussion among dyslexic learners changed over time?,How has the amount of AI-related discussion among dyslexic learners changed over time?,"How have frequencies, mentions, thread volumes, and discussion levels about automated tools changed across time in dyslexia-related forums?"
RQ5_F4,"How have the main reported uses of AI shifted over time, for example from general curiosity to everyday academic or workplace support?","How have the main reported AI uses shifted over time, for example from curiosity to everyday academic or workplace support?","How have use patterns moved from experimentation and novelty toward routine study, work, productivity, or learning-support applications over time?"
RQ5_F5,"How has the role of AI in dyslexia-related support changed over time relative to broader discussions of technology, accommodations, and coping strategies?","How has AI's role in dyslexia-related support changed over time compared with wider discussions of technology, accommodations, and coping strategies?","How has the place of automated tools changed relative to assistive technology, access adjustments, support services, and self-management methods over time?"
